f_Hz;Ue_V;Us_V;Us_Ue;Gain_dB;Phase_deg
10.0;0.9999;0.7788999999999999;0.7789778977897789;-2.169497290813451;32.405
12.663801734674035;0.9996;0.7367999999999999;0.7370948379351739;-2.6495326053123995;36.481
16.0371874375133;1.022;0.6776;0.6630136986301369;-3.5695499695208692;43.88
20.309176209047358;1.03;0.6043;0.5866990291262135;-4.631692609134317;49.716
25.719138090593443;1.028;0.5232;0.5089494163424124;-5.866507586860922;59.262
32.57020655659783;1.032;0.441;0.4273255813953488;-7.38482215646708;65.653
41.24626382901352;1.031;0.36269999999999997;0.3517943743937924;-9.074222194061646;68.304
52.23345074266843;1.037;0.296;0.2854387656702025;-10.889740906602048;75.22
66.14740641230149;1.033;0.2396;0.23194578896418203;-12.692270156046934;78.581
83.7677640068292;1.031;0.19019999999999998;0.18448108632395732;-14.68096305364243;84.431
106.08183551394482;1.027;0.1507;0.14673807205452777;-16.669143825652924;84.021
134.33993325989002;1.022;0.121;0.11839530332681017;-18.533310509644878;87.053
170.1254279852589;1.022;0.09490000000000001;0.09285714285714286;-20.643693667428025;97.992
215.44346900318823;1.02;0.07528;0.07380392156862745;-22.63841122685434;83.765
272.83333764867695;1.016;0.06904897718286636;0.06796159171541964;-23.354729163120357;
345.5107294592218;1.017;0.055260394949728696;0.05433667153365654;-25.298139367990586;
437.54793750741845;1.018;0.04143645737753168;0.04070378917242798;-27.807303196292796;
554.1020330009492;1.018;0.03452802412533911;0.03391750896398734;-29.391521030972143;
701.7038286703829;1.014;0.027623126407052473;0.02724174201878942;-31.295302483674256;
888.6238162743407;1.013;0.027623126407052473;0.02726863416293433;-31.286732290933518;
1125.3355826007646;1.015;0.02071469315485991;0.020408564684591044;-33.803750754753736;
1425.1026703029977;1.018;0.02071469315485991;0.020348421566660026;-33.8293854697839;
1804.7217668271703;1.018;0.013809795436573274;0.013565614377773353;-37.35121065089752;
2285.4638641349907;1.017;0.013809795436573274;0.013578953231635472;-37.34267414933762;
2894.2661247167516;1.018;0.013809795436573274;0.013565614377773353;-37.35121065089752;
3665.2412370796296;1.014;0.013809795436573274;0.013619127649480546;-37.31701419082907;
4641.588833612777;1.019;0.013809795436573274;0.013552301704193597;-37.35973877101125;
5878.0160722749115;1.017;0.013809795436573274;0.013578953231635472;-37.34267414933762;
7443.803013251689;1.013;0.006904897718286637;0.006816286000282959;-43.32904391136796;
9426.684551178854;1.016;0.013809795436573274;0.01359231834308393;-37.334129249840736;
11937.766417144358;1.021;0.006904897718286637;0.006762877295089753;-43.39736984590055;
15117.7507061566;1.018;0.006904897718286637;0.006782807188886676;-43.37181056417715;
19144.819761699575;1.02;0.006904897718286637;0.006769507566947683;-43.3888584394007;
24244.62017082331;1.018;0.006904897718286637;0.006782807188886676;-43.37181056417715;
30702.9062975785;1.02;0.006904897718286637;0.006769507566947683;-43.3888584394007;
38881.55180308085;1.016;0.006904897718286637;0.006796159171541965;-43.35472916312035;
49238.82631706742;1.017;0.006904897718286637;0.006789476615817736;-43.363274062617236;
62355.07341273912;1.021;0.006904897718286637;0.006762877295089753;-43.39736984590055;
78965.22868499733;1.025;0.006904897718286637;0.0067364855788162314;-43.43133231199781;
100000.0;1.025;0.006904897718286637;0.0067364855788162314;-43.43133231199781;
