f_Hz;Us_V;Us_Ue;Gain_dB
10.0;1.020893;1.020893;0.1796045196085701
12.663801734674035;1.020893;1.020893;0.1796045196085701
16.0371874375133;1.020893;1.020893;0.1796045196085701
20.309176209047358;1.017738;1.017738;0.15271980757736583
25.719138090593443;1.017738;1.017738;0.15271980757736583
32.57020655659783;1.010559;1.010559;0.09123348471425848
41.24626382901352;1.010559;1.010559;0.09123348471425848
52.23345074266843;1.007266;1.007266;0.0628834940357385
66.14740641230149;1.007266;1.007266;0.0628834940357385
83.7677640068292;1.007266;1.007266;0.0628834940357385
106.08183551394482;0.9864774;0.9864774;-0.11825719795137349
134.33993325989002;0.9864774;0.9864774;-0.11825719795137349
170.1254279852589;0.9134991;0.9134991;-0.7858375237598205
215.44346900318823;0.9134991;0.9134991;-0.7858375237598205
272.83333764867695;0.9134991;0.9134991;-0.7858375237598205
345.5107294592218;0.7447184;0.7447184;-2.5601583153778695
437.54793750741845;0.7447184;0.7447184;-2.5601583153778695
554.1020330009492;0.5846614;0.5846614;-4.6619115564806135
701.7038286703829;0.5846614;0.5846614;-4.6619115564806135
888.6238162743407;0.5846614;0.5846614;-4.6619115564806135
1125.3355826007646;0.3675808;0.3675808;-8.6929436275369
1425.1026703029977;0.3675808;0.3675808;-8.6929436275369
1804.7217668271703;0.2187761;0.2187761;-13.200002477215829
2285.4638641349907;0.2187761;0.2187761;-13.200002477215829
2894.2661247167516;0.1364387;0.1364387;-17.301248544823174
3665.2412370796296;0.1364387;0.1364387;-17.301248544823174
4641.588833612777;0.1364387;0.1364387;-17.301248544823174
5878.0160722749115;0.0708809;0.0708809;-22.989415533889574
7443.803013251689;0.0708809;0.0708809;-22.989415533889574
9426.684551178854;0.0;0.0;-200.0
11937.766417144358;0.0;0.0;-200.0
15117.7507061566;0.0;0.0;-200.0
19144.819761699575;0.0;0.0;-200.0
24244.62017082331;0.0;0.0;-200.0
30702.9062975785;0.0;0.0;-200.0
38881.55180308085;0.0;0.0;-200.0
49238.82631706742;0.0;0.0;-200.0
62355.07341273912;0.0;0.0;-200.0
78965.22868499733;0.0;0.0;-200.0
100000.0;0.0;0.0;-200.0
