f_Hz;Us_V;Us_Ue;Gain_dB
10.0;0.0;0.0;-200.0
12.663801734674035;0.0;0.0;-200.0
16.0371874375133;0.0;0.0;-200.0
20.309176209047358;0.9274181;0.9274181;-0.6544886485667458
25.719138090593443;0.9274181;0.9274181;-0.6544886485667458
32.57020655659783;0.9274181;0.9274181;-0.6544886485667458
41.24626382901352;0.8747398;0.8747398;-1.1624222590855702
52.23345074266843;0.8747398;0.8747398;-1.1624222590855702
66.14740641230149;0.7210944;0.7210944;-2.840157542908333
83.7677640068292;0.7210944;0.7210944;-2.840157542908333
106.08183551394482;0.4957106;0.4957106;-6.0954358856739335
134.33993325989002;0.4957106;0.4957106;-6.0954358856739335
170.1254279852589;0.4957106;0.4957106;-6.0954358856739335
215.44346900318823;0.3248847;0.3248847;-9.765414813545547
272.83333764867695;0.3248847;0.3248847;-9.765414813545547
345.5107294592218;0.1835123;0.1835123;-14.726696432804125
437.54793750741845;0.1835123;0.1835123;-14.726696432804125
554.1020330009492;0.1077904;0.1077904;-19.348398328937375
701.7038286703829;0.1077904;0.1077904;-19.348398328937375
888.6238162743407;0.1077904;0.1077904;-19.348398328937375
1125.3355826007646;0.06288523;0.06288523;-24.029026926622908
1425.1026703029977;0.06288523;0.06288523;-24.029026926622908
1804.7217668271703;0.0;0.0;-200.0
2285.4638641349907;0.0;0.0;-200.0
2894.2661247167516;0.0;0.0;-200.0
3665.2412370796296;0.0;0.0;-200.0
4641.588833612777;0.0;0.0;-200.0
5878.0160722749115;0.0;0.0;-200.0
7443.803013251689;0.0;0.0;-200.0
9426.684551178854;0.0;0.0;-200.0
11937.766417144358;0.0;0.0;-200.0
15117.7507061566;0.0;0.0;-200.0
19144.819761699575;0.0;0.0;-200.0
24244.62017082331;0.0;0.0;-200.0
30702.9062975785;0.0;0.0;-200.0
38881.55180308085;0.0;0.0;-200.0
49238.82631706742;0.0;0.0;-200.0
62355.07341273912;0.0;0.0;-200.0
78965.22868499733;0.0;0.0;-200.0
100000.0;0.0;0.0;-200.0
